Key,ShortKey,Source,Row,Module,Field,Role,CN,ID
Item_9625_Name,aFVN,d道具_Item_A.csv,315,Item,Name,,阿库特之春,Mata Air <Italic:Yakutsk>
Item_9625_Desc,aFVL,d道具_Item_A.csv,315,Item,Desc,,持续而稳定的狂气与银钥获取，适合依赖狂气爆发的银钥角色。,<Italic:Wheel of Destiny> dengan atribut <Italic:Keyflare Regen Level.>
Item_9625_StoryDesc,aFVO,d道具_Item_A.csv,315,Item,StoryDesc,,在灾厄凭空消失，危机宣告暂时解除后，弥萨格特别行动队带着「意外收获」离开了阿库特。\n德克斯特小姐最后回头看了一眼爆炸中心的巨坑，不知名植物的嫩芽竟不知何时悄然破了土。\n她松了一口气，心情愉悦。\n阿库特林地将会迎来它的春天。\n杨柳会在下一个春天到来时抽条，铃兰会在下一个雨季后悄然绽放，所有的生命都将迎来新生。\n而他们对抗未知的旅途，也将踏上新的起点。\n,"Setelah bencana (itu) menghilang tak berjejak dan menghilangkan masalah daripadanya untuk sementara waktu, Tim Operasi Khusus Mythag beranjak dari Yakutsk dengan ""hasil tidak terduga.""\nNy. Dexter memandangi kawah besar dari sebuah lokasi ledakan, mendapati sejumlah tanaman tak dikenal telah tumbuh tanpa disadarinya.\nIa menghela nafasnya dengan perasaan tenang.\nHutan ini akan bersemi dari mata airnya.\nPohon-pohon willow akan bertunas kala musim semi berikutnya tiba. Lily dari lembah akan bermekaran kala musim hujan berikutnya tiba, seraya kehidupan baru bermulai.\nPerjalanan mereka menghadapi yang tidak diketahui akan tiba pada titik awal yang baru."
Item_9703_Name,aGbF,d道具_Item_A.csv,316,Item,Name,,陨日,Jatuhnya Surya
Item_9703_Desc,aGbD,d道具_Item_A.csv,316,Item,Desc,,通用的伤害型，全面而综合的增强唤醒体的输出能力，,<Italic:Wheel of Destiny> dengan atribut <Italic:DMG Amplification.>
Item_9703_StoryDesc,aGbG,d道具_Item_A.csv,316,Item,StoryDesc,,A.F. 314，冬日的一个深夜，爆炸声响彻阿库特林地。\n大地震颤，林地亮如白昼。伴随着生命的尖啸与自然的哭嚎，村镇被夷为平地。\n据参与了「阿库特灾厄调查」的唤醒系预科生德克斯特所言，那一夜冲天的火光中，闪耀着黑与银的色彩。,"A.F. 314, pada malam di musim dingin, suara ledakan bergema melintasi Akutlin.\nTanah begruncang hebat, pepohonan diterpa cahaya bak kala tengah hari. Diiringi pekikan dari yang hidup dan rintihan dari alam, sebuah desa musnah hingga rata tanah.\nMenurut Dexter, seorang calon mahasiswa dalam sistem <Italic:Awaken> yang ikut serta dalam ""Penyelidikan bencana Acushnet,"" di antara kobaran api yang menjulang ke angkasa malam itu, kilau berwarna hitam dan perak berkelindan."
Item_9704_Name,aGbJ,d道具_Item_A.csv,317,Item,Name,,灵魂诞生,Lahirnya Jiwa
Item_9704_Desc,aGbH,d道具_Item_A.csv,317,Item,Desc,,属性为界域精通的命轮。,<Italic:Wheel of Destiny> dengan atribut <Italic:Realm Mastery.>
Item_9704_StoryDesc,aGbK,d道具_Item_A.csv,317,Item,StoryDesc,,时间的弦根根绷断，流动的琴键纷纷碎裂。\n祂们立于现实之外，以现实为材缝补残缺，让永不谢幕的乐章再度奏响高天之上。\n至于那片刻梦醒时落的泪流向了何方，无人得知。,"Benang waktu terputus satu demi satu dan kunci (not) yang mengalir hancur berkeping-keping.\n<Italic:Mereka> berdiri melampaui realitas, menyulam kembali yang tercerai dengan <Italic:kain-kain takdir,> membawakan kembali simfoni keabadian di surga.\nTiada yang tahu, ke mana mengalir air mata yang terjatuh ketika (jiwa) terbangkitkan."
Item_9516_Desc,aFNH,d道具_Item_A.csv,318,Item,Desc,,属性为暴击伤害的命轮。,<Italic:Wheel of Destiny> dengan atribut <Italic:Crit. DMG.>
Item_9516_StoryDesc,aFNK,d道具_Item_A.csv,318,Item,StoryDesc,,时间流转，对星球初生之时的记忆，萝坦已经不大记得清了。\n她只记得，自己是被选中的生灵。\n\n那是发生在一切概念诞生前的故事。\n「生命」尚未扎根发芽，「神明」也远在天垓之外。\n在这团无序的星云中，混沌与混沌碰撞，物质在冲击与搅动中日渐成型。\n星子攫取着尘埃，岩石隆起成山的形状，大气沉降为大片水泽。\n然后，这里被宣告成为一颗「星球」。\n\n混沌的灵魂囿于时间的牢笼中，冲撞着新生的土壤。\n无法控制暴虐的本性，受破坏欲的操纵，祂推垮了无数山脉，填平了无数河泽。\n然后——「神明」跨越了远星，降临在了荒芜的行星。\n\n「神明」带来了文明的种子，也将混沌的灵魂禁锢在了「秩序」的躯体中。\n「与我……做一个约定吧。」\n面对咆哮的混沌之灵，白纱的「神明」絮絮诉说着。\n「伟大的文明将在这里诞生。」\n「你将与无为的智者相遇，将与彷徨的利刃交锋……在未来，你将不再受破坏与毁灭的控制。」\n「在那天到来前……在我们重逢前，替我守护这里。」,"\nSeiring waktu berlalu, Lotan perlahan melupakan tempat kelahirannya.\nDia hanya mengingat kalau dirinya adalah salah satu dari ""Makhluk yang terpoilih"".\n\nKiranya itu adalah kisah yang dimulai sebelum semesta tercipta.\n""Kehidupan"" belum tercipta dalam semesta, dan para ""Dewa"" masih berada di tempat yang lebih jauh dari surge.\nDalam semesta yang rumit itu, kekacauan saling bertabrakan, dan materi mulai terbentuk diantara seluruh dampak kekacauan itu.\nBintang-bintang mulai menyatu dengan debu di galaksi, bebatuan menjadi gunung-gunung, dan atmosfer mulai tercipta.\nSetelah peristiwa itu, muncullah tempat-tempat yang disebut sebagai ""Planet"".\n\nRuh-ruh yang begitu rumit itu, terperangkap dalam penjara waktu, dihantamkan dengan bumi yang baru terlahir.\nTanpa mampu mengendalikan sifat brutal dan nafsu menghancurkan, mereka menghancurkan gunung-gunung dan membanjiri banyak tempat.\nKemudian, para ""Dewa"" yang melintasi galaksi, turun untuk menginjakkan kaki di planet yang baru lahir itu.\n\nPara ""Dewa"" menanam benih kehidupan dan mengurung ruh-ruh perusak itu dalam sebuah ""Tatanan"".\n""Bersumpahlah padauk...\nDi hadapan para ruh yang mengamuk, ""Dewa"" dengan wajah yang terselubung itu bersabda.\n""Sebuah peradaban besar akan terlahir di sini.""\n""Kalian akan menemui orang-orang bijak yang rendah hati, dan beradu pedang bersama para pengembara. Di masa yang akan datang, kaloan tidak akan lagi dikendalikan oleh kehancuran.""\n""Sebelum saat itu tiba... Sebelum kita bertemu kembali, jaga tempat ini untukku."""
Item_9689_Desc,aGaz,d道具_Item_A.csv,319,Item,Desc,,提高持有者造成的护盾和伤害，额外洗入的打击和防御带来更多可能。,<Italic:Wheel of Destiny> dengan atribut <Italic:Death Resistance.>
