Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
Activity_59848_ActivityName,aaFY,h活动_Activity_A.csv,345,Activity,ActivityName,,历程追思献礼Ⅲ,Echoed Pilgrimage III
Activity_59855_ActivityName,aaGO,h活动_Activity_A.csv,346,Activity,ActivityName,,历程追思献礼Ⅳ,Echoed Pilgrimage IV
Activity_59854_ActivityName,aaGI,h活动_Activity_A.csv,347,Activity,ActivityName,,历程追思献礼Ⅴ,Echoed Pilgrimage V
Activity_59853_ActivityName,aaGC,h活动_Activity_A.csv,348,Activity,ActivityName,,历程追思献礼Ⅵ,Echoed Pilgrimage VI
Activity_59852_ActivityName,aaGw,h活动_Activity_A.csv,349,Activity,ActivityName,,历程追思献礼Ⅶ,Echoed Pilgrimage VII
Activity_59847_ActivityName,aaFS,h活动_Activity_A.csv,350,Activity,ActivityName,,历程追思献礼Ⅷ,Echoed Pilgrimage VIII
Activity_67077_ActivityName,aaZE,h活动_Activity_A.csv,351,Activity,ActivityName,,历程追思献礼Ⅸ,Echoed Pilgrimage IX
Activity_91355_ActivityName,byHw,h活动_Activity_A.csv,354,Activity,ActivityName,,历程追思献礼·星辰篇Ⅲ,Echoed Pilgrimage: Astral Reign III
Activity_120495_ActivityName,bKsN,h活动_Activity_A.csv,355,Activity,ActivityName,,历程追思献礼·星辰篇Ⅳ,Echoed Pilgrimage: Astral Reign IV
Activity_61487_ActivityName,aaJe,h活动_Activity_A.csv,358,Activity,ActivityName,,晋升纪念献礼Ⅲ,Promotion Commemorative Gift III
Activity_61483_ActivityName,aaIG,h活动_Activity_A.csv,359,Activity,ActivityName,,晋升纪念献礼Ⅳ,Promotion Commemorative Gift IV
Activity_61482_ActivityName,aaIA,h活动_Activity_A.csv,360,Activity,ActivityName,,晋升纪念献礼Ⅴ,Promotion Commemorative Gift V
Activity_61485_ActivityName,aaIS,h活动_Activity_A.csv,361,Activity,ActivityName,,晋升纪念献礼Ⅵ,Promotion Commemorative Gift VI
Activity_61484_ActivityName,aaIM,h活动_Activity_A.csv,362,Activity,ActivityName,,晋升纪念献礼Ⅶ,Promotion Commemorative Gift VII
Activity_61489_ActivityName,aaJq,h活动_Activity_A.csv,363,Activity,ActivityName,,晋升纪念献礼Ⅷ,Promotion Commemorative Gift VIII
Activity_71957_ActivityName,abeO,h活动_Activity_A.csv,364,Activity,ActivityName,,晋升纪念献礼Ⅸ,Promotion Commemorative Gift IX
Activity_71956_ActivityName,abeI,h活动_Activity_A.csv,365,Activity,ActivityName,,晋升纪念献礼Ⅹ,Promotion Commemorative Gift X
Event_40458_Desc,awXQ,s事件_Event_A.csv,996,Event,Desc,,Ⅰ.书信  约翰·坎贝里安 致旺达（洪积前@2年）\n\n丈夫有权处置自己的妻子，至少在坎布里安如此。\n但我显然低估了你的疯狂程度。现在我的双眼近乎全瞎，我的四肢也即将被砍掉。\n恶魔的女儿。恶魔的女儿……不，你就是恶魔本身。\n我诅咒你@1诅咒你@2诅咒你诅咒你……,"I. Letter from John Cambrian to Wanda (B.F. @2)\n\nA husband has the right to dispose of his wife, at least in Cambrian.\nBut I clearly underestimated your madness. Now I am nearly blind, and my limbs are about to be cut off.\nDaughter of evil... No, you are evil itself.\nI curse you @1, curse you @2, curse you, curse you..."
Item_9968_Name,aGuB,d道具_Item_A.csv,570,Item,Name,,再衍化Ⅲ,Re-evolution III
Item_9953_Name,aGtx,d道具_Item_A.csv,571,Item,Name,,再衍化Ⅳ,Re-evolution IV
Item_9923_Name,aGrx,d道具_Item_A.csv,572,Item,Name,,再衍化Ⅴ,Re-evolution V
Item_9724_Name,aGdl,d道具_Item_A.csv,573,Item,Name,,再衍化Ⅵ,Re-evolution VI
Item_9759_Name,aGfN,d道具_Item_A.csv,576,Item,Name,,二律背反Ⅲ,Paradox III
Item_9871_Name,aGnR,d道具_Item_A.csv,613,Item,Name,,有机形态Ⅳ,Organic Form IV
Item_9853_Name,aGmx,d道具_Item_A.csv,614,Item,Name,,有机形态Ⅴ,Organic Form V
Item_9626_Name,aFVR,d道具_Item_A.csv,615,Item,Name,,有机形态Ⅵ,Organic Form VI
Item_10119_Name,aCRx,d道具_Item_A.csv,636,Item,Name,,远方的欢宴Ⅲ,Feast from Afar III
Item_9663_Name,aFYF,d道具_Item_A.csv,638,Item,Name,,远方的欢宴Ⅴ,Feast from Afar V
Item_9869_Name,aGnJ,d道具_Item_A.csv,639,Item,Name,,远方的欢宴Ⅵ,Feast from Afar VI
Item_54580_Name,aDXl,d道具_Item_A.csv,1506,Item,Name,,至高礼赞·Ⅲ,Highest Praise: III
Item_54594_Name,aDXF,d道具_Item_A.csv,1507,Item,Name,,至高礼赞·Ⅳ,Highest Praise: IV
Item_54595_Name,aDXJ,d道具_Item_A.csv,1508,Item,Name,,至高礼赞·Ⅴ,Highest Praise: V
Item_54592_Name,aDXx,d道具_Item_A.csv,1509,Item,Name,,至高礼赞·Ⅵ,Highest Praise: VI
Item_54593_Name,aDXB,d道具_Item_A.csv,1510,Item,Name,,至高礼赞·Ⅶ,Highest Praise: VII
Mail_23897_Desc,aHwq,y邮件_Mail_A.csv,93,Mail,Desc,,尊敬的守密人：\n        在V1.0.21的更新中，我们对「调查行动」困难难度、「意识潜游」战斗关卡普通和困难难度，以及「无光之境」中各界域的轮转间隙Ⅰ-Ⅳ 每关的首通奖励进行了调整。详细的调整内容可在「V1.0.21在线维护公告」中查看。\n        根据您之前的调查和挑战通关记录，我们将按调整后的奖励为你一次性发放之前未能领取的奖励内容。具体请见附件。,"Dear Keeper,\n      In the V1.0.21 update, we have adjusted the rewards for ""Investigation"" on hard difficulty, ""Psyche Deepdive"" combat levels on Normal and Hard difficulties, and the first-clear rewards for each level of Rotation Gap I-IV in the ""Lightless Realm"". Detailed changes can be found in the ""V1.0.21 Online Maintenance Notice"".\n       Based on your previous investigation and challenge progress, we will grant you the previously uncollected rewards according to the adjustments. Please see the attachments."
PanelText_UI_Awaker_Popup_Trinket_Select_List_Text_C_3_Normal_Content,aIrU,j界面文字表_PanelText_C.csv,47,PanelText,Content,,Ⅲ,III
PanelText_UI_Awaker_Popup_Trinket_Select_List_Text_C_3_Select_Content,aIrV,j界面文字表_PanelText_C.csv,48,PanelText,Content,,Ⅲ,III
PanelText_UI_Awaker_Popup_Trinket_Select_List_Text_C_4_Normal_Content,aIrW,j界面文字表_PanelText_C.csv,49,PanelText,Content,,Ⅳ,IV
PanelText_UI_Awaker_Popup_Trinket_Select_List_Text_C_4_Select_Content,aIrX,j界面文字表_PanelText_C.csv,50,PanelText,Content,,Ⅳ,IV
PanelText_UI_Awaker_Popup_Trinket_Select_List_Text_C_5_Normal_Content,aIrY,j界面文字表_PanelText_C.csv,51,PanelText,Content,,Ⅴ,V
PanelText_UI_Awaker_Popup_Trinket_Select_List_Text_C_5_Select_Content,aIrZ,j界面文字表_PanelText_C.csv,52,PanelText,Content,,Ⅴ,V
PanelText_UI_Awaker_Popup_Trinket_Select_List_Text_C_6_Normal_Content,aIsa,j界面文字表_PanelText_C.csv,53,PanelText,Content,,Ⅵ,VI
PanelText_UI_Awaker_Popup_Trinket_Select_List_Text_C_6_Select_Content,aIsb,j界面文字表_PanelText_C.csv,54,PanelText,Content,,Ⅵ,VI
PanelText_UI_Awaker_Popup_Trinket_Replace_Text_C_3_Normal_Content,aIrD,j界面文字表_PanelText_C.csv,878,PanelText,Content,,Ⅲ,III
PanelText_UI_Awaker_Popup_Trinket_Replace_Text_C_3_Select_Content,aIrE,j界面文字表_PanelText_C.csv,879,PanelText,Content,,Ⅲ,III
PanelText_UI_Awaker_Popup_Trinket_Replace_Text_C_4_Normal_Content,aIrF,j界面文字表_PanelText_C.csv,880,PanelText,Content,,Ⅳ,IV
PanelText_UI_Awaker_Popup_Trinket_Replace_Text_C_4_Select_Content,aIrG,j界面文字表_PanelText_C.csv,881,PanelText,Content,,Ⅳ,IV
PanelText_UI_Awaker_Popup_Trinket_Replace_Text_C_5_Normal_Content,aIrH,j界面文字表_PanelText_C.csv,882,PanelText,Content,,Ⅴ,V
PanelText_UI_Awaker_Popup_Trinket_Replace_Text_C_5_Select_Content,aIrI,j界面文字表_PanelText_C.csv,883,PanelText,Content,,Ⅴ,V
PanelText_UI_Awaker_Popup_Trinket_Replace_Text_C_6_Normal_Content,aIrJ,j界面文字表_PanelText_C.csv,884,PanelText,Content,,Ⅵ,VI
PanelText_UI_Awaker_Popup_Trinket_Replace_Text_C_6_Select_Content,aIrK,j界面文字表_PanelText_C.csv,885,PanelText,Content,,Ⅵ,VI
PanelText_UI_Alchemy_Popup_ResolveMaterials_Sift2_Text_C_Tips3_Content,aIlD,j界面文字表_PanelText_C.csv,1029,PanelText,Content,,Ⅲ,III
PanelText_UI_Alchemy_Popup_ResolveMaterials_Sift2_Text_C_Tips4_Content,aIlE,j界面文字表_PanelText_C.csv,1030,PanelText,Content,,Ⅳ,IV
PanelText_UI_Alchemy_Popup_ResolveMaterials_Sift2_Text_C_Tips5_Content,aIlF,j界面文字表_PanelText_C.csv,1031,PanelText,Content,,Ⅴ,V
PanelText_UI_Alchemy_Popup_ResolveMaterials_Sift2_Text_C_Tips6_Content,aIlG,j界面文字表_PanelText_C.csv,1032,PanelText,Content,,Ⅵ,VI
PanelText_UI_Event_Activity_Main_Text_C_Normal_3_Content,aIEb,j界面文字表_PanelText_C.csv,1633,PanelText,Content,,Ⅲ,III
PanelText_UI_Event_Activity_Main_Text_C_Select_3_Content,aIEe,j界面文字表_PanelText_C.csv,1635,PanelText,Content,,Ⅲ,III
Stage_8203_Name,aVxt,g关卡_Stage_A.csv,926,Stage,Name,,深海之遗·间隙Ⅶ,Aequor Legacy: Fissure VII
Stage_7935_Name,aVhY,g关卡_Stage_A.csv,927,Stage,Name,,深海之遗·间隙Ⅷ,Aequor Legacy: Fissure VIII
Stage_7650_Name,aUBn,g关卡_Stage_A.csv,934,Stage,Name,,血肉之沼·间隙Ⅶ,Caro Marsh: Fissure VII
Stage_7879_Name,aVeM,g关卡_Stage_A.csv,935,Stage,Name,,血肉之沼·间隙Ⅷ,Caro Marsh: Fissure VIII
Stage_8180_Name,aVwc,g关卡_Stage_A.csv,942,Stage,Name,,超维之旅·间隙Ⅶ,Ultra Journey: Fissure VII
Stage_7980_Name,aVkJ,g关卡_Stage_A.csv,943,Stage,Name,,超维之旅·间隙Ⅷ,Ultra Journey: Fissure VIII
Stage_7882_Name,aVeV,g关卡_Stage_A.csv,950,Stage,Name,,混沌之域·间隙Ⅶ,Chaos Domain: Fissure VII
Stage_8166_Name,aVvm,g关卡_Stage_A.csv,951,Stage,Name,,混沌之域·间隙Ⅷ,Chaos Domain: Fissure VIII
Stage_34719_Name,aScq,g关卡_Stage_A.csv,1985,Stage,Name,,Ⅶ·剧作金字塔,VII: Drama's Apex
Stage_35100_Name,aSer,g关卡_Stage_A.csv,1986,Stage,Name,,Ⅷ·陌生化效果,VIII: Distancing Effect
Stage_35099_Name,aSeo,g关卡_Stage_A.csv,1987,Stage,Name,,Ⅸ·戏剧的第四壁,IX: The Fourth Wall
Task_94497_Name,bzhQ,r任务_Task_A.csv,166,Task,Name,,界域精通Ⅹ,Realm Mastery X
Task_94489_Name,bzhA,r任务_Task_A.csv,203,Task,Name,,界域精通Ⅹ,Realm Mastery X
Task_94492_Name,bzhG,r任务_Task_A.csv,205,Task,Name,,界域精通Ⅹ,Realm Mastery X
Task_19752_Desc,bcOB,r任务_Task_A.csv,250,Task,Desc,,通关血肉之沼·间隙Ⅳ,Clear Caro Marsh: Interval IV
Task_19739_Desc,bcNb,r任务_Task_A.csv,254,Task,Desc,,通关血肉之沼·间隙Ⅵ,Clear Caro Marsh: Interval VI
Task_78723_Desc,blir,r任务_Task_A.csv,587,Task,Desc,,暗潮虫鸣Ⅱ,Songs of the Insectoids II
Task_78726_Desc,bliJ,r任务_Task_A.csv,590,Task,Desc,,暗潮虫鸣Ⅴ,Songs of the Insectoids V
Task_78728_Desc,bliV,r任务_Task_A.csv,591,Task,Desc,,暗潮虫鸣Ⅵ,Songs of the Insectoids VI
Task_78725_Desc,bliD,r任务_Task_A.csv,592,Task,Desc,,暗潮虫鸣Ⅶ,Songs of the Insectoids VII
Task_90872_Desc,byth,r任务_Task_A.csv,595,Task,Desc,,颅庭挽歌Ⅰ,Ossuary Antiphon I
Task_90896_Desc,bytF,r任务_Task_A.csv,596,Task,Desc,,颅庭挽歌Ⅱ,Ossuary Antiphon II
Task_90881_Desc,bytq,r任务_Task_A.csv,597,Task,Desc,,颅庭挽歌Ⅲ,Ossuary Antiphon III
Task_90889_Desc,byty,r任务_Task_A.csv,598,Task,Desc,,颅庭挽歌Ⅳ,Ossuary Antiphon IV
Task_90884_Desc,bytt,r任务_Task_A.csv,599,Task,Desc,,颅庭挽歌Ⅴ,Ossuary Antiphon V
