Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
Event_7301_Desc,aAzM,s事件_Event_A.csv,403,Event,Desc,,东区的街道错综复杂，不一会儿你就丢失了孩子们的身影。\n当你一筹莫展之时，一个神秘的女人向你搭话。\n「我知道孩子们去了哪里，不过，在告诉你之前，能否帮我一个小忙呢？」\n她拿出一张纸，冲你友好地微笑。\n「我叫克莱门汀，是一名心理医生，正在进行有关伦蒂尼恩居民的心理调查。如果你能帮我填写一下这个问卷。\n如实填写的话，我会很乐意为你和你的同伴提供一些帮助。」,"The streets of the East District are intricate and complex, and you soon lose sight of the children.\nJust when you begin to lose hope, a mysterious woman approaches you.\n""I know where the children have gone, but before I tell you, could you do me a small favor?""\nShe pulls out a piece of paper and smiles at you kindly.\n""My name is Clementine. I am a psychologist conducting a psychological investigation on the residents of Londinium. If you could simply fill out this questionnaire,\nI would be more than happy to provide you and your companions with some assistance."""
Event_7301_ChoiceDesc1,aAzH,s事件_Event_A.csv,403,Event,ChoiceDesc1,,【如实填写】,[Answer Honestly]
Event_7425_Desc,aBoQ,s事件_Event_A.csv,404,Event,Desc,,「这样么……非常有趣。」\n她收回问卷，向你指了孩子们离开的方向。你匆匆离去，险些没有听到身后的低语。\n「期待我们的下次会面。」,"""Is that so... very interesting.""\nShe folds away the questionnaire and points you in the direction the children had gone. You hurry away, nearly missing the whisper behind you.\n""Looking forward to when we meet again."""
Event_7304_Desc,aAAw,s事件_Event_A.csv,405,Event,Desc,,「哎呀，这……」她收回问卷，露出了有些无奈的神色，「算了，你毕竟赶时间。孩子们往那里去了，应该没走多远。」\n你匆匆转身，险些没能听清身后的低语。\n「反正，我们会再次见面的。」,"""Oh, this..."" She takes back the questionnaire with a somewhat befuddled expression. ""Oh well, you're in a hurry after all. The children went that way, shouldn't be too far.""\nYou quickly turn and dash, nearly missing the whisper behind you.\n""No matter, we will meet again."""
Event_7341_Name,aAIZ,s事件_Event_A.csv,406,Event,Name,,病历本,Medical Records
Event_7341_Desc,aAIY,s事件_Event_A.csv,406,Event,Desc,,一个颇为熟悉的声音叫住了你，你眯起眼睛，却怎么也看不清她的身形。\n「我知道你在赶时间，」克莱门汀医生语调轻快，「我保证不会耽误你太久。」\n两只手穿透脑中的迷雾而来，上面各拿了一本病历本，一本厚实且有磨损，一本薄而簇新。\n「根据你的问卷结果，我擅自给你做了一份病历。不过，我一时忘了哪本是你的，不如你来挑选一下？」\n不知为何，薄的病历本上传来了一股熟悉的气息，和你与唤醒体之间的精神联系隐隐共鸣。,"A rather familiar voice calls out to you. You squint, but can't quite make out the figure.\n""I know you're in a hurry,"" says Dr. Clementine cheerfully, ""I promise not to take up too much of your time.""\nTwo hands reach through the mist in your mind, each holding a medical record—one thick and worn, the other thin and pristine.\n""Based on your questionnaire results, I took the liberty of preparing a medical record for you. However, I seem to have forgotten which one belongs to you. Why don't you choose?""\nFor some reason, the thin medical record exudes a familiar aura, subtly resonating with the mental connection between you and the figure."
Event_7341_ChoiceDesc1,aAIT,s事件_Event_A.csv,406,Event,ChoiceDesc1,,【厚实的病历本】,[Thick Record]
Event_7341_ChoiceDesc2,aAIU,s事件_Event_A.csv,406,Event,ChoiceDesc2,,【薄薄的病历本】,[Thin Record]
Event_7321_Name,aAEt,s事件_Event_A.csv,407,Event,Name,,病历本,Medical Records
Event_7321_Desc,aAEs,s事件_Event_A.csv,407,Event,Desc,,你接过厚实的病历本并打开，发现扉页上写了「G·R」两个字。\n「哎呀，哎呀，这不是你的病历吗？」克莱门汀似乎毫不介意，「不过，钻研他人心理，也能提升对自己的认知呢。」\n还没等你询问，她的身影便彻底消失。,"\nYou take the thick medical record and open it to find ""G. R."" on the title page.\n""Oh dear, oh dear, this isn't your record, is it?"" Clementine says, entirely unbothered. ""No matter, studying the psyche of others can be good for one's own, after all.""\nBefore you could ask, her figure was already long gone."
Event_7322_Name,aAEF,s事件_Event_A.csv,408,Event,Name,,病历本,Medical Records
Event_7322_Desc,aAEE,s事件_Event_A.csv,408,Event,Desc,,你接过薄薄的病历本并打开，发现里面只有一张纸，上面只写了一句话。\n「在亘古的混沌之中，苍白的无目之眼在永恒注视。」\n你想要询问克莱门汀，却发现她早已不见了踪影。,"You take the thin medical record and open it to find a single sheet of paper inside, with only one sentence written on it.\n""In the eternal sea of chaos, a Pale, Pupilless Eye watches endlessly.""\nBefore you could ask, Clementine's figure was already long gone."
Event_7253_Desc,aAoI,s事件_Event_A.csv,409,Event,Desc,,走过某个转角，周围的一切愈发模糊，只有可怖的吼叫仍旧清晰。\n脚步声响起，你一回头，依稀看到一个古怪的身影：那似乎是个人，同时背后有着成对的阴影，乍看上去像一只巨大的飞蛾。\n「小心，」拉蒙娜低声提醒，「密境之中，眼见不一定为实，若是贸然跟上去，恐怕会有危险。」,"As you turn a corner, your surroundings become increasingly blurry, yet the fearsome roars remain clear.\nFootsteps echo, and when you turn around, you can vaguely make out a strange figure; its humanoid shape stands as a person would, but behind them lies a pair of shadows reminiscent of the wings of a gigantic moth.\n""Be careful,"" Ramona whispers, ""In a Domain, what you may see isn't necessarily real. If you aren't careful, you may put yourself in danger."""
Event_7253_ChoiceDesc1,aAoD,s事件_Event_A.csv,409,Event,ChoiceDesc1,,【出声试探】,[Call Out]
Event_7253_ChoiceDesc2,aAoE,s事件_Event_A.csv,409,Event,ChoiceDesc2,,【偷偷跟上】,[Check Carefully]
