Activity_15821_ActivityTips,aaaH,h活动_Activity_A.csv,148,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_24992_ActivityTips,aaql,h活动_Activity_A.csv,149,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_35983_ActivityTips,aayp,h活动_Activity_A.csv,150,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_44705_ActivityTips,aazV,h活动_Activity_A.csv,151,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_49249_ActivityTips,aaAR,h活动_Activity_A.csv,152,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_51905_ActivityTips,aaBB,h活动_Activity_A.csv,153,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_54527_ActivityTips,aaCV,h活动_Activity_A.csv,154,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_54525_ActivityTips,aaCJ,h活动_Activity_A.csv,155,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_54524_ActivityTips,aaCD,h活动_Activity_A.csv,156,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
Activity_54522_ActivityTips,aaCr,h活动_Activity_A.csv,157,Activity,ActivityTips,,活动规则：\n1、守密人每天登录后可以在「学园礼赠」中领取当日签到奖励。\n2、奖励将根据守密人累计登录依次解锁，当日签到奖励将在9点（GMT+8）刷新。,イベントルール：\n1、守秘者が毎日ログインすると、「学園の贈り物」で当日のログイン報酬を受け取れます。\n2、報酬は守秘者の累計ログインに応じて順次解放され、当日のログイン報酬は9:00【GMT+8】に更新されます。,,
