State_3281_Desc,aWWb,z状态表_State_A.csv,34,State,Desc,,提高造成的主动伤害。,アクティブダメージを増加させる。
State_3281_Name,aWWc,z状态表_State_A.csv,34,State,Name,,<PowerIconKeywords: 力量>,<PowerIconKeywords: 力>
State_2712_Desc,aWru,z状态表_State_A.csv,35,State,Desc,,提高造成的护盾。,生成するシールドを増加させる。
State_2712_Name,aWrv,z状态表_State_A.csv,35,State,Name,,<AlertIconKeywords: 戒备>,<AlertIconKeywords: 警戒>
State_3825_Desc,aXIG,z状态表_State_A.csv,36,State,Desc,,受到攻击时，对攻击者造成等量层数的伤害。,攻撃を受けた時、攻撃者にその点数に等しいダメージを与える。
State_3825_Name,aXIH,z状态表_State_A.csv,36,State,Name,,<RetaliateIconKeywords: 反击>,<RetaliateIconKeywords: 反撃>
State_3773_Desc,aXFV,z状态表_State_A.csv,37,State,Desc,,回合结束时受到等量层数的伤害。,ターン終了時にその点数に等しいダメージを受ける。
State_3773_Name,aXFW,z状态表_State_A.csv,37,State,Name,,<IntoxicationIconKeywords: 中毒>,<IntoxicationIconKeywords: 毒>
State_3514_Desc,aXjg,z状态表_State_A.csv,38,State,Desc,,回合结束时受到等量层数的伤害并移除该状态。,ターン終了時にその点数に等しいダメージを受け、この状態を解除する。
State_3514_Name,aXjh,z状态表_State_A.csv,38,State,Name,,<BleedingIconKeywords: 出血>,<BleedingIconKeywords: 出血>
State_2432_Desc,aVXt,z状态表_State_A.csv,39,State,Desc,,承受的所有伤害提高 50 %，回合结束时移除 1 层。,受けるすべてのダメージが50%増加し、ターン終了時に1点を除去する。
State_2432_Name,aVXu,z状态表_State_A.csv,39,State,Name,,<VulnerabilityIconKeywords: 易伤>,<VulnerabilityIconKeywords: 易傷>
State_3212_Desc,aWSx,z状态表_State_A.csv,40,State,Desc,,造成的所有伤害降低 25 %，回合结束时移除 1 层。,与えるすべてのダメージが25%減少し、ターン終了時に1点を除去する。
State_3212_Name,aWSy,z状态表_State_A.csv,40,State,Name,,<WeaknessIconKeywords: 虚弱>,<WeaknessIconKeywords: 虚弱>
State_2586_Desc,aWkH,z状态表_State_A.csv,41,State,Desc,,获得的所有护盾降低 25 %，回合结束时移除 1 层。,獲得するすべてのシールドが25%減少し、ターン終了時に1点を除去する。
