Activity_61370_ActivityPlot,aaIp,h活动_Activity_A.csv,9,Activity,ActivityPlot,,每日登录可领取纪念限定SSR命轮「纯银之心」，总计可领取16个！,毎日ログインで記念限定SSR命輪「純銀の初心」を合計16個受け取り可能！,,,,,,,,,,,,
Activity_61370_BannerText,aaIs,h活动_Activity_A.csv,9,Activity,BannerText,,限定SSR命轮免费领取,限定SSR命輪無料受取,,,,,,,,,,,,
Activity_89576_ActivityPlot,bxrX,h活动_Activity_A.csv,11,Activity,ActivityPlot,,每日登录可领取纪念限定SSR命轮「重生于湮土」，总计可领取16个！,毎日ログインで記念限定SSR命輪「湮土での再誕生」を合計16個受け取り可能！,,,,,,,,,,,,
Activity_89576_BannerText,bxsa,h活动_Activity_A.csv,11,Activity,BannerText,,限定SSR命轮免费领取,限定SSR命輪無料受取,,,,,,,,,,,,
Activity_48826_ActivityPlot,aaAD,h活动_Activity_A.csv,17,Activity,ActivityPlot,,每日登录可领取纪念限定SSR命轮「极夜与破晓」，总计可领取16个！,毎日ログインで記念限定SSR命輪「極夜と暁」を合計16個受け取り可能！,,,,,,,,,,,,
Activity_48826_BannerText,aaAG,h活动_Activity_A.csv,17,Activity,BannerText,,限定SSR命轮免费领取,限定SSR命輪無料受取,,,,,,,,,,,,
Activity_99296_ActivityPlot,bIbi,h活动_Activity_A.csv,20,Activity,ActivityPlot,,每日登录可领取纪念限定SSR命轮「你我终将重逢」，总计可领取16个！,毎日ログインで記念限定SSR命輪「再会の誓い」を合計16個受け取り可能！,,,,,,,,,,,,
Activity_99296_BannerText,bIbk,h活动_Activity_A.csv,20,Activity,BannerText,,限定SSR命轮免费领取,限定SSR命輪無料受取,,,,,,,,,,,,
Activity_46609_ActivityPlot,aaAf,h活动_Activity_A.csv,47,Activity,ActivityPlot,,Hysteria，又名歇斯底里症、癔症。\n在你们身处的年代，它与死亡同义。\n\n幸运的是，弥萨格的科学家和调查员同样疯狂：他们决心攻克这一难题。,「Hysteria」——別名ヒステリー症。\nこの時代、それはすなわち死を意味した。\n\nだが幸運にも、ミサゴの科学者と調査員もまた、狂気の沙汰ではなかった。彼らは、この難題を克服することを決意したのだ。,,,,,,,,,,,,
Activity_46609_BannerText,aaAi,h活动_Activity_A.csv,47,Activity,BannerText,,玩法活动限时开启！,期間限定イベント開催中！,,,,,,,,,,,,
Activity_47534_ActivityName,aaAk,h活动_Activity_A.csv,48,Activity,ActivityName,,宁静的裂殖,静かな分裂,,,,,,,,,,,,
Activity_48719_BannerText,aaAu,h活动_Activity_A.csv,49,Activity,BannerText,,玩法活动限时开启！,期間限定イベント開催中！,,,,,,,,,,,,
Activity_51127_ActivityName,aaBg,h活动_Activity_A.csv,52,Activity,ActivityName,,故事的魔法·轻量复刻,物語の魔法・復刻ライト,,,,,,,,,,,,
Activity_51127_ActivityTips,aaBj,h活动_Activity_A.csv,52,Activity,ActivityTips,,<Title:活动简介>\n1、玩法活动复刻「故事的魔法」限时开放，守密人可通过「魔法剧本商店」和「成就奖励」再次获得活动限定命轮「35mm 的魔法」与活动限定头像「以银钥之名：莉莉」！\n2、活动期间，「特遣纪录：故事的魔法」将限时免费解锁。\n\n<Title:活动时间>\n1、6 月 3 日 9:00 - 6 月 17 日 9:00（GMT+8），活动简介中的所有内容均可参与。\n2、6 月 17 日 9:00 - 6 月 24 日 9:00（GMT+8），仅保留「魔法剧本商店」和「成就奖励」，其他内容均已结束不可参与。\n\n<Title:剧本迷思>\n1、「剧本迷思」包含 9 个素材关卡，每天自动开放 1 个，开放后需通关前置特遣记录关卡才可挑战。\n2、每次挑战将消耗 60 点灵啡肽，挑战成功将获得活动货币「飘零的灵感」和培养素材；本次活动素材关卡通关后即可支持重现。\n3、可以使用校友会助战和「共鸣：导演密码」来帮助你更轻松地通关。\n\n<Title:灵感加成>\n1、守密人拥有特定唤醒体或命轮（不要求上阵）可以使「剧本迷思」关卡任务报酬中的「飘零的灵感」获得额外的掉落加成（包括重现），具体加成如下：\n·唤醒体「莉莉」：启灵0/1/2/3及以上，加成20%/30%/40%/50%\n·SSR命轮「跨越疼痛」：叠位0/1/2/3及以上，加成20%/30%/40%/50%\n·SR命轮「35mm的魔法」：叠位0/1/2/3及以上，加成20%/30%/40%/50%\n2、不同唤醒体或命轮的「灵感加成」以叠加的方式结算。\n\n<Title:共鸣：导演密码>\n1、守密人可以通过完成活动成就获取「演绎之心」。 \n2、消耗「演绎之心」，激活「共鸣：导演密码」，可以让守密人在活动玩法「剧本迷思」和「特遣纪录：故事的魔法」中变得更强，还可以提升完成「剧本迷思」挑战后获得的「飘零的灵感」和同调率奖励。\n\n<Title:成就奖励>\n1、完成成就任务可以获得活动限定头像「以银钥之名：莉莉」、活动货币「飘零的灵感」、银芯。\n2、包含 25 个任务：通关「剧本迷思」的每个关卡 1 次、使用每个界域队伍通关 「剧本迷思」 1/2 次、通关「特遣纪录：故事的魔法」每个调查事件 1 次、完成所有活动成就。\n\n<Title:特遣纪录>\n1、活动期间，「特遣纪录：故事的魔法」可免费解锁。\n2、在「特遣纪录：故事的魔法」中，守密人将使用包含剧情预设「莉莉」的特殊编队进行挑战。\n\n<Title:复刻补偿>\n1、此前已经解锁「特遣纪录：故事的魔法」的守密人，在本次复刻活动期间重新解锁时将会获得「飘零的灵感」*1000的补偿。\n此前已经获得活动限定头像「以银钥之名：莉莉」的守密人，重复获得时将自动转换为「飘零的灵感」*3000。\n此前已经获得激活共鸣材料「演绎之心」的守密人，每获得 1 个多余的「演绎之心」将自动转换为「蔷薇金券」*5000。\n,<Title:イベント概要>\n1、復刻イベント「物語の魔法」が期間限定でオープン！\n「魔法の脚本屋」と「達成報酬」を通じて、再びイベント限定SR命輪「35mmの魔法」や、イベント限定アイコン「銀の鍵の名のもとに：リリー」を獲得できます。\n2、イベント期間中、「特務記録：物語の魔法」が無料解放されます。\n\n<Title:イベント期間>\n1、6月3日 9:00 - 6月17日 9:00【GMT+8】、すべてのイベント内容に参加できます。\n2、6月17日 9:00 - 6月24日 9:00（GMT+8）、「魔法の脚本屋」と「達成報酬」のみが残り、他の内容は終了し参加できません。\n\n<Title:脚本の謎>\n1、「脚本の謎」は9つのステージがあり、毎日1つ自動で開放されます。\n※開放後、前提となる特務記録ステージをクリアする必要があります。\n2、各挑戦には60点のエンフェリンを消費し、ステージ毎に異なる素材ドロップと、イベント通貨「揺蕩う閃き」を獲得できます。\nステージクリア後、そのステージの「リプレイ」機能が解放されます。\n3、フレンドの救援や「共鳴：監督の演出指示」を利用すると、より簡単にクリアできます。\n\n<Title:閃きホーナス>\n1、特定の覚醒体や命輪を所持すると適用されます。（参戦は不要）\n「脚本の謎」ステージ報酬のイベント通貨「揺蕩う閃き」の追加ドロップボーナスが得られます。（リプレイを含む）\n具体的なボーナスは以下の通り：\n·覚醒体「リリー」：霊知啓発0/1/2/3以上、ボーナス20%/30%/40%/50%\n·SSR命輪「痛みを越えて」：強化0/1/2/3以上、ボーナス20%/30%/40%/50%\n·SR命輪「35mmの魔法」：強化0/1/2/3以上、ボーナス20%/30%/40%/50%\n2、異なる覚醒体や命輪の「閃きボーナス」は累積で計算されます。\n\n<Title:共鳴：監督の演出指示>\n1、守密者は達成報酬を完了することで「演技の心」を獲得できます。 \n2、「演技の心」を消費して「共鳴：監督の演出指示」を起動すると、イベントステージ「脚本の謎」と「特務記録：物語の魔法」で守秘者がより強化されます。\nさらに「脚本の謎」の挑戦後に獲得する「揺蕩う閃き」と、同調率の報酬を増加させることができます。\n\n<Title:達成報酬>\n1、「達成報酬」を完了すると、イベント限定アイコン「銀の鍵の名のもとに：リリー」、イベント通貨「揺蕩う閃き」、シルバーコアを獲得できます。\n2、以下の25の任務を含みます：\n「脚本の謎」各ステージを1回クリア、各界域の覚醒体を使用し「脚本の謎」を1回クリア・2回クリア、「特務記録：物語の魔法」の各調査ステージを1回クリア、全任務を完了する。\n\n<Title:特務記録>\n1、イベント期間中、「特務記録：物語の魔法」が無料で解放できます。\n2、「特務記録：物語の魔法」では、守密者はストーリー専用「リリー」を含む特殊編成を使用して挑戦します。\n\n<Title:復刻補償>\n1、イベント期間中、以前に「特務記録：物語の魔法」を解放した守密者は、再解放時に「揺蕩う閃き」×1000の補償を得られます。\n以前に、イベント限定アイコン「銀の鍵の名のもとに：リリー」を獲得していた場合、再獲得時に自動的に「揺蕩う閃き」×3000に変換されます。\n以前に共鳴活性素材「演技の心」を獲得していた場合、余剰の「演技の心」を1個獲得するごとに自動的に「薔薇金券」×5000に変換されます。\n,,,,,,,,,,,,
Activity_51127_ActivityPlot,aaBh,h活动_Activity_A.csv,52,Activity,ActivityPlot,,朵尔交待的任务，从来都不简单。\n即便她数次提醒大家「要玩得开心」，可首次带着一群唤醒体出门，守密人怎么能不胆战心惊？\n但，要记得「玩得开心」哦。,ドールの任務は簡単にはいかない。\n彼女が何度も「楽しんで」と、念を押しても、初めて集団の覚醒体たちを連れて外出するのは、守秘者にとっても緊張の連続だ。\nでも「楽しんで」を忘れないで。,,,,,,,,,,,,
Activity_51127_BannerText,aaBk,h活动_Activity_A.csv,52,Activity,BannerText,,玩法活动限时开启！,期間限定イベント開催中！,,,,,,,,,,,,
Activity_52040_ActivityPlot,aaBF,h活动_Activity_A.csv,54,Activity,ActivityPlot,,深海的倒影上，王的梦境消散，神的国度也已腐朽。\n她从旧日的幻梦中走来，走入未来坍塌的废墟。\n她询问深渊，深渊缄默不语。\n她向深渊祭祀，回应她的，只有她自己。,深海に映り込む影の中、王の夢は消え、神国もまた朽ち果てた。\n彼女は太古の幻夢から歩み出て、未来の崩壊した廃墟に踏み入る。\n深淵に問うても、それはただ沈黙し\n深淵に祈れども、答えるは己のみ。,,,,,,,,,,,,
Activity_52040_BannerText,aaBI,h活动_Activity_A.csv,54,Activity,BannerText,,玩法活动限时开启！,期間限定イベント開催中！,,,,,,,,,,,,
Activity_53829_BannerText,aaCg,h活动_Activity_A.csv,56,Activity,BannerText,,玩法活动限时开启！,期間限定イベント開催中！,,,,,,,,,,,,
